feature,importance,cumulative_importance
Outstanding_Debt,0.20274247,0.20274247
Credit_Mix,0.10677598,0.30951846
Interest_Rate,0.086469665,0.3959881
Num_Credit_Card,0.050035324,0.44602343
Delay_from_due_date,0.04341472,0.48943815
Changed_Credit_Limit,0.03390788,0.523346
Num_of_Delayed_Payment,0.033393018,0.55673903
Num_Credit_Inquiries,0.03179111,0.5885301
Payment_Behaviour,0.030632064,0.6191622
Debt_to_income_ratio,0.028905679,0.6480679
Num_Bank_Accounts,0.028349807,0.6764177
Num_of_Loan,0.028051037,0.7044687
Credit_history_total_months,0.027513647,0.73198235
Annual_Income,0.02606493,0.7580473
Payment_of_Min_Amount,0.025336282,0.78338355
Total_EMI_per_month,0.024777425,0.80816096
Monthly_Balance,0.02459245,0.8327534
Amount_invested_monthly,0.024210028,0.85696346
Credit_Utilization_Ratio,0.02300708,0.87997055
avg_activity_intensity,0.022386257,0.9023568
Age,0.02235788,0.9247147
recent_total_activity,0.021827916,0.9465426
occupation_category,0.020407476,0.9669501
financial_health_score,0.018967433,0.98591757
total_active_features,0.014082423,1.0
visit_frequency,0.0,1.0
